iteration,disease,resident,E.A,E.P,e.A,e.P,s,b.A,b.P,Y.A,y.1,Y.P,g.A,g.P,l.A,l.P,L.A,L.P,beta.A,beta.P,ann_invades,per_invades,per_viable,outcome,litter_producer,litter_tolerator,iterationF,ann_rel_abund,per_rel_abund,eq_litter,Resident
43,without disease,E. virginicus,0.0012471019777031006,0.13534881832154738,0.21986893726404325,0.21986834563984697,0.8266101177639654,16.87608028832081,4.899409987362855,2.9969500620212854,0.0030549330285458373,12.095528398079304,0.7105913897137421,0.1010977891141611,194.02483344829955,643.9117585313122,1529.0180182213544,10671.048432859148,0.01642799177712687,5.851881189078974e-5,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,43,0,1,10671.048432859148,Resident: E. virginicus
44,without disease,E. virginicus,0.21929311210363964,0.21576612920382301,0.21958302924246256,0.21998522693334094,0.9047322378797248,14.909506228787366,4.888383132379639,941.927635408597,0.18786503307855779,14.905588377432746,0.73058833719141,0.02383474118380901,211.23385314759935,1.1776127120903022,10452.954101586933,4.369026785993839,3.0256036349265763e-4,0.004475066042862965,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,44,1,7.660604261621254e-45,4.369551534965406,Resident: E. virginicus
45,without disease,E. virginicus,0.05588617937845751,0.16299363835392205,0.21904401574829752,0.21995299377964175,0.957992157702716,14.323138121773834,3.188429141952447,22.572059658492723,0.01248979303987701,7.37682744132452,0.7925960297471479,0.0331963642340251,199.66799430691546,66.54783086096371,3300.9282519045546,917.2030773012773,0.003183010080231024,3.8100345034848375e-4,1,1,1,coexistence,Producer: M. vimineum,Tolerant: M. vimineum,45,0.055415195154126684,0.9445848048458733,917.2030773012557,Resident: E. virginicus
46,without disease,E. virginicus,0.21641698846980836,0.2166612615680622,0.2196434966918435,0.21976420491107196,0.99,14.0830666649307,2.427308496076261,98.32568663467207,0.36017926287171714,2.870219273533888,0.7495718088636992,0.015085889439963654,223.59026736456016,13.35248675688615,17702.575862081183,179.3159210928925,8.35538748966132e-5,8.026343589850624e-5,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,46,0.9999992188433737,7.811566262451908e-7,178.43285779661946,Resident: E. virginicus
47,without disease,E. virginicus,0.1275170981436421,0.15183879485407253,0.2196526331018175,0.2197830521359627,0.99,19.10193673552612,4.345990509315837,9.665569476535563,1.3446299282461034,0.5942643638030938,0.7434105423359754,0.10421439753751947,63.9162632023769,56.23108759066329,4082.4756595801578,998.9030356820847,7.23624654929166e-4,4.481512605025357e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,47,5.926246053629927e-20,1,998.4938291806084,Resident: E. virginicus
48,without disease,E. virginicus,0.2054925457475906,0.21448582485241866,0.21913609225002187,0.21999667194091482,0.9057433978060445,14.900914291766256,2.5865622381306266,78.87793606813307,0.03573390248549369,13.559741757894606,0.8154033369172583,0.02996740663229813,113.3649167086254,7.8216591975625605,5138.6834269004075,98.8603834946266,6.715972547100702e-4,2.598947307405495e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: M. vimineum,48,1,5.244912629975294e-36,98.86038349462652,Resident: E. virginicus
49,without disease,E. virginicus,1.81557627390923e-6,1.4368064173747705e-5,0.21992438242599835,0.21999974283082405,0.8719660626670042,19.18893612849163,4.979791676995965,9.819514653627225e-4,530369567.542739,0.01997184140108442,0.8230455284555628,0.07451321400720788,404.1181119659755,402964197088.4521,8280.972682968912,251203634.49689642,0.0014225958982241886,1.7981329721638594e-4,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,49,0,1,85147861.46730931,Resident: E. virginicus
50,without disease,E. virginicus,0.03886335396604378,0.12053082681665739,0.21992588975793267,0.2199769678839293,0.8975918216401508,14.534539147202091,5.194644567547194,7.855729138043061,0.002536557431755627,10.550770322492982,0.773168831233899,0.07677281650226532,196.23869393625898,258.93191402633454,5477.361116776196,4200.976739623984,0.0011090165911540406,1.9639911328412371e-4,0,1,1,E. virginicus only,Producer: M. vimineum,Tolerant: M. vimineum,50,0,1,4200.976739623982,Resident: E. virginicus
51,without disease,E. virginicus,0.20753898208116592,0.1982259499744247,0.21944328734890642,0.21999803671947404,0.951802309848325,14.137213529548148,4.349449776569634,345.56688346801565,0.0471564351960569,5.159350227055856,0.765445704723175,0.044114456766968665,755.8893279810744,13.739090508245495,25213.826245605876,293.57134627869664,1.9538477018206726e-4,3.7413288570017173e-4,1,0,1,M. vimineum only,Producer: M. vimineum,Tolerant: E. virginicus,51,1,3.286480301547178e-23,293.5713462786141,Resident: E. virginicus
52,without disease,E. virginicus,0.008982225924378957,0.10600773781125744,0.21736709621104638,0.21939739511450904,0.99,15.076850258461384,3.429560176381656,0.7706094871702398,0.013629631391771126,3.20109513252079,0.7962873461579683,0.028036581380782487,145.3263609381549,2186.3468731582643,4841.542116093219,21982.810908496554,0.0010554541361383139,4.8662344897640066e-5,0,1,1,E. virginicus only,Producer: E. virginicus,Tolerant: M. vimineum,52,0,1,21980.767036499175,Resident: E. virginicus
53,without disease,E. virginicus,0.06584664222860807,0.20073468806789463,0.21998443805136703,0.21999951355038014,0.9403418732640494,15.17426082249417,2.812170321266883,49.155243098096,0.1939583013199356,4.008539546385778,0.7910689437903735,0.06966114365098292,167.8094469382227,20.759846342679552,1964.5636123611066,297.18739995929104,0.007876714754406516,3.22932875170772e-4,1,1,1,coexistence,Producer: M. vimineum,Tolerant: M. vimineum,53,0.9464710145874361,0.05352898541256388,297.1873999592903,Resident: E. virginicus
