site_plot,trial,seeds,germination_final,seeds_dark,seeds_light,seeds_infect,prop_germ,prop_dark,prop_light,site,plot,treatment,fungicide,plotf,sp,age,jul_severity,late_aug_severity,sep_severity
D1 3W,0,30,24,4,29,1,0.8,0.13333333333333333,0.9666666666666667,D1,3,control,0,D13c,Mv,seedling,0.08650762619798186,0.05697770051943358,0.217383401830371
D1 8W,0,30,29,3,12,1,0.9666666666666667,0.1,0.4,D1,8,control,0,D18c,Mv,seedling,0.01055483691799492,0.04625563531389713,0.2184405132296865
D2 2F,0,30,23,2,16,1,0.7666666666666667,0.06666666666666667,0.5333333333333333,D2,2,fungicide,1,D22f,Mv,seedling,0.00195285713552007,3.2024449840530836e-4,0.00216336057877214
D2 3W,0,30,22,6,9,1,0.7333333333333333,0.2,0.3,D2,3,control,0,D23c,Mv,seedling,2.313049061768456e-4,0.00350571167100269,0.01469252548209307
D2 4F,0,30,27,0,6,1,0.9,0,0.2,D2,4,fungicide,1,D24f,Mv,seedling,1.315968876569449e-4,0.00618939232665321,0.04621759677226956
D3 3F,0,30,27,4,10,1,0.9,0.13333333333333333,0.3333333333333333,D3,3,fungicide,1,D33f,Mv,seedling,0.00421391412957539,0.01897273552443168,0.04726580939640971
D3 5F,0,30,28,5,7,1,0.9333333333333333,0.16666666666666666,0.23333333333333334,D3,5,fungicide,1,D35f,Mv,seedling,0.0089466467559473,0.01519268089825339,0.00552507911947306
D3 5W,0,30,28,3,21,1,0.9333333333333333,0.1,0.7,D3,5,control,0,D35c,Mv,seedling,0.00531359736693929,0.12436127792687998,0.32624380404616565
D3 7W,0,30,15,9,9,1,0.5,0.3,0.3,D3,7,control,0,D37c,Mv,seedling,9.155758668317448e-4,0.07404100740274987,0.3849313799541108
D4 3W,0,30,24,1,10,1,0.8,0.03333333333333333,0.3333333333333333,D4,3,control,0,D43c,Mv,seedling,0.00102008081293437,0.11443475743793804,0.21660340775006243
D4 4F,0,30,25,0,9,1,0.8333333333333334,0,0.3,D4,4,fungicide,1,D44f,Mv,seedling,4.904173872445465e-4,0.00102170070602293,0.00475115906708899
